delegation,superficie,chambres,salle_de_bains,etat,etage,gouvernorat_ariana,gouvernorat_ben-arous,gouvernorat_la-manouba,gouvernorat_tunis,prix
32.0,216,1,2,10,2,0.0,0.0,0.0,1.0,1037016.0
29.0,92,1,1,9,7,0.0,0.0,0.0,1.0,400016.0
17.0,168,4,2,10,3,0.0,1.0,0.0,0.0,660912.0
23.0,86,1,1,11,7,0.0,0.0,0.0,1.0,414262.0
21.0,275,2,2,9,5,0.0,0.0,0.0,1.0,1257506.0
32.0,204,3,2,9,2,0.0,0.0,0.0,1.0,826404.0
27.0,221,3,1,11,9,1.0,0.0,0.0,0.0,885989.0
29.0,147,1,1,4,1,0.0,0.0,0.0,1.0,615592.0
32.0,61,2,1,4,6,0.0,0.0,0.0,1.0,248862.0
32.0,287,2,2,11,7,0.0,0.0,0.0,1.0,1223481.0
22.0,97,2,1,4,3,1.0,0.0,0.0,0.0,352779.0
13.0,238,2,1,11,3,0.0,1.0,0.0,0.0,970564.0
19.0,126,2,1,10,8,0.0,1.0,0.0,0.0,439614.0
29.0,255,2,2,10,1,1.0,0.0,0.0,0.0,1262760.0
29.0,114,3,1,10,4,0.0,0.0,0.0,1.0,519726.0
10.0,226,2,2,11,1,1.0,0.0,0.0,0.0,1070562.0
32.0,169,1,1,9,4,0.0,0.0,0.0,1.0,708448.0
10.0,135,2,1,10,9,1.0,0.0,0.0,0.0,602640.0
6.0,164,4,2,11,5,0.0,1.0,0.0,0.0,708431.0
18.0,185,1,2,4,8,0.0,1.0,0.0,0.0,687478.0
29.0,231,2,2,4,5,1.0,0.0,0.0,0.0,1018086.0
27.0,161,1,2,4,5,1.0,0.0,0.0,0.0,622490.0
29.0,72,1,1,10,8,1.0,0.0,0.0,0.0,320184.0
24.0,134,1,1,11,1,0.0,0.0,0.0,1.0,626986.0
6.0,73,1,1,11,8,0.0,1.0,0.0,0.0,258639.0
19.0,120,1,1,10,7,0.0,1.0,0.0,0.0,439080.0
10.0,203,1,2,4,6,1.0,0.0,0.0,0.0,775196.0
28.0,204,1,2,11,5,0.0,0.0,0.0,1.0,920632.0
29.0,269,1,1,11,1,0.0,0.0,0.0,1.0,1276136.0
11.0,155,1,2,11,5,0.0,0.0,0.0,1.0,700639.0
26.0,299,4,1,4,4,1.0,0.0,0.0,0.0,1229518.0
29.0,118,1,1,11,9,0.0,0.0,0.0,1.0,486632.0
26.0,158,1,2,9,5,1.0,0.0,0.0,0.0,751859.0
19.0,114,2,1,10,3,0.0,1.0,0.0,0.0,379506.0
28.0,174,1,2,10,5,0.0,0.0,0.0,1.0,738291.0
25.0,56,1,1,10,6,0.0,0.0,0.0,1.0,257152.0
29.0,218,4,1,10,7,1.0,0.0,0.0,0.0,997350.0
24.0,120,2,1,9,1,0.0,0.0,0.0,1.0,517920.0
16.0,218,1,2,11,3,0.0,1.0,0.0,0.0,904700.0
29.0,241,1,2,10,2,0.0,0.0,0.0,1.0,1106190.0
29.0,51,2,1,9,9,0.0,0.0,0.0,1.0,216597.0
10.0,237,3,2,9,1,1.0,0.0,0.0,0.0,1127883.0
26.0,202,1,2,11,1,1.0,0.0,0.0,0.0,829008.0
11.0,65,3,1,10,6,0.0,0.0,0.0,1.0,306605.0
27.0,292,3,2,11,4,0.0,0.0,0.0,1.0,1269324.0
18.0,285,1,2,11,1,0.0,1.0,0.0,0.0,975840.0
10.0,293,2,2,9,8,1.0,0.0,0.0,0.0,1238804.0
14.0,221,1,1,10,1,0.0,1.0,0.0,0.0,889083.0
19.0,120,1,1,11,7,0.0,1.0,0.0,0.0,435840.0
14.0,130,4,1,9,9,0.0,1.0,0.0,0.0,451230.0
27.0,290,2,2,10,9,1.0,0.0,0.0,0.0,1356910.0
29.0,123,3,1,10,5,1.0,0.0,0.0,0.0,624569.0
28.0,300,1,2,11,4,0.0,0.0,0.0,1.0,1433100.0
17.0,138,1,1,10,9,0.0,1.0,0.0,0.0,518328.0
27.0,198,3,1,11,1,0.0,0.0,0.0,1.0,952974.0
18.0,93,1,1,11,4,0.0,1.0,0.0,0.0,333591.0
1.0,265,1,2,9,1,0.0,0.0,1.0,0.0,1012300.0
25.0,188,1,1,10,2,0.0,0.0,0.0,1.0,811408.0
26.0,228,1,1,11,7,1.0,0.0,0.0,0.0,912456.0
18.0,69,2,1,10,7,0.0,1.0,0.0,0.0,261096.0
30.0,190,1,2,10,5,0.0,0.0,0.0,1.0,769120.0
28.0,123,4,1,9,2,0.0,0.0,0.0,1.0,541446.0
27.0,70,3,1,4,1,1.0,0.0,0.0,0.0,281106.0
30.0,169,2,2,11,9,0.0,0.0,0.0,1.0,702026.0
10.0,128,1,1,4,6,1.0,0.0,0.0,0.0,552038.0
29.0,200,1,1,10,6,0.0,0.0,0.0,1.0,989400.0
35.0,240,3,1,10,3,0.0,0.0,0.0,1.0,1163520.0
18.0,279,1,2,10,5,0.0,1.0,0.0,0.0,1010970.0
20.0,69,1,1,4,4,0.0,0.0,0.0,1.0,281561.0
17.0,161,3,2,11,3,0.0,1.0,0.0,0.0,556416.0
27.0,248,1,1,4,5,1.0,0.0,0.0,0.0,961992.0
29.0,79,4,1,9,1,1.0,0.0,0.0,0.0,359845.0
23.0,221,1,2,11,1,0.0,0.0,0.0,1.0,964665.0
32.0,185,1,1,9,9,0.0,0.0,0.0,1.0,756095.0
16.0,94,1,1,4,8,0.0,1.0,0.0,0.0,314374.0
19.0,112,2,1,10,5,0.0,1.0,0.0,0.0,467578.0
29.0,184,2,2,9,1,0.0,0.0,0.0,1.0,773536.0
17.0,54,1,1,10,4,0.0,1.0,0.0,0.0,204552.0
22.0,243,1,2,10,3,1.0,0.0,0.0,0.0,979290.0
17.0,237,2,2,9,4,0.0,1.0,0.0,0.0,770724.0
29.0,296,3,1,11,9,0.0,0.0,0.0,1.0,1210344.0
23.0,53,2,1,11,3,0.0,0.0,0.0,1.0,215286.0
32.0,73,4,1,11,6,0.0,0.0,0.0,1.0,358138.0
38.0,283,2,2,9,1,0.0,0.0,0.0,1.0,1193128.0
32.0,139,1,1,4,4,0.0,0.0,0.0,1.0,531800.0
26.0,185,1,1,4,5,1.0,0.0,0.0,0.0,755768.0
18.0,262,1,2,10,9,0.0,1.0,0.0,0.0,1065554.0
17.0,261,1,2,9,3,0.0,1.0,0.0,0.0,1013985.0
32.0,207,1,2,4,1,0.0,0.0,0.0,1.0,751348.0
32.0,70,1,1,10,4,0.0,0.0,0.0,1.0,312760.0
10.0,195,4,2,11,3,1.0,0.0,0.0,0.0,802620.0
10.0,161,1,1,11,2,1.0,0.0,0.0,0.0,779723.0
32.0,233,1,1,11,3,0.0,0.0,0.0,1.0,1067839.0
17.0,160,2,1,9,9,0.0,1.0,0.0,0.0,621920.0
32.0,55,1,1,11,5,0.0,0.0,0.0,1.0,228415.0
17.0,267,1,2,4,6,0.0,1.0,0.0,0.0,857631.0
21.0,146,3,1,11,9,0.0,0.0,0.0,1.0,709560.0
30.0,107,1,1,9,9,0.0,0.0,0.0,1.0,457746.0
23.0,271,2,1,4,6,0.0,0.0,0.0,1.0,1112916.0
29.0,207,1,1,11,1,1.0,0.0,0.0,0.0,887202.0
26.0,143,3,1,10,3,1.0,0.0,0.0,0.0,594022.0
29.0,168,2,2,4,7,0.0,0.0,0.0,1.0,611150.0
34.0,50,4,1,4,1,0.0,0.0,0.0,1.0,206280.0
35.0,221,1,1,9,9,0.0,0.0,0.0,1.0,899912.0
29.0,143,2,1,10,1,0.0,0.0,0.0,1.0,657943.0
10.0,226,2,1,10,5,1.0,0.0,0.0,0.0,944002.0
10.0,231,2,2,11,5,1.0,0.0,0.0,0.0,1023330.0
26.0,275,3,1,9,1,1.0,0.0,0.0,0.0,1353275.0
29.0,263,1,2,4,4,1.0,0.0,0.0,0.0,1092844.0
21.0,217,3,1,9,9,0.0,0.0,0.0,1.0,931147.0
23.0,223,1,1,10,4,0.0,0.0,0.0,1.0,1010859.0
20.0,53,1,1,10,1,0.0,0.0,0.0,1.0,257845.0
25.0,225,1,2,4,5,0.0,0.0,0.0,1.0,876420.0
11.0,247,1,2,9,5,0.0,0.0,0.0,1.0,1103794.0
13.0,101,2,1,10,3,0.0,1.0,0.0,0.0,327038.0
28.0,52,1,1,4,4,0.0,0.0,0.0,1.0,231005.0
32.0,195,2,2,9,1,0.0,0.0,0.0,1.0,832065.0
10.0,131,1,1,10,7,1.0,0.0,0.0,0.0,575876.0
32.0,123,2,1,10,9,0.0,0.0,0.0,1.0,518814.0
38.0,190,2,1,9,7,0.0,0.0,0.0,1.0,768360.0
32.0,74,1,1,9,7,0.0,0.0,0.0,1.0,320716.0
26.0,220,1,2,11,8,1.0,0.0,0.0,0.0,947980.0
29.0,270,4,1,9,1,1.0,0.0,0.0,0.0,1207710.0
28.0,88,1,1,9,1,0.0,0.0,0.0,1.0,412896.0
3.0,74,3,1,10,1,1.0,0.0,0.0,0.0,327450.0
10.0,111,1,1,9,5,1.0,0.0,0.0,0.0,551398.0
32.0,96,4,1,11,1,0.0,0.0,0.0,1.0,456192.0
17.0,205,2,1,9,7,0.0,1.0,0.0,0.0,774285.0
12.0,119,1,1,9,1,0.0,1.0,0.0,0.0,444584.0
18.0,267,1,1,4,6,0.0,1.0,0.0,0.0,908574.0
23.0,149,4,1,9,8,0.0,0.0,0.0,1.0,743510.0
32.0,262,1,2,9,5,0.0,0.0,0.0,1.0,1321856.0
21.0,122,1,1,4,4,0.0,0.0,0.0,1.0,491684.0
38.0,140,2,1,10,2,0.0,0.0,0.0,1.0,599900.0
10.0,69,1,1,9,8,1.0,0.0,0.0,0.0,343413.0
19.0,230,1,2,9,8,0.0,1.0,0.0,0.0,938170.0
26.0,163,1,1,9,8,1.0,0.0,0.0,0.0,703019.0
21.0,60,3,1,4,4,0.0,0.0,0.0,1.0,260226.0
13.0,154,1,2,11,5,0.0,1.0,0.0,0.0,523746.0
29.0,174,3,1,11,9,1.0,0.0,0.0,0.0,734976.0
7.0,166,3,2,9,7,1.0,0.0,0.0,0.0,759118.0
17.0,278,4,2,10,5,0.0,1.0,0.0,0.0,966050.0
17.0,203,1,2,9,4,0.0,1.0,0.0,0.0,803068.0
32.0,206,1,1,9,2,0.0,0.0,0.0,1.0,1006104.0
15.0,172,1,1,4,5,0.0,1.0,0.0,0.0,639014.0
12.0,184,3,2,9,2,0.0,1.0,0.0,0.0,748144.0
16.0,209,1,1,9,5,0.0,1.0,0.0,0.0,748220.0
27.0,131,3,1,10,4,1.0,0.0,0.0,0.0,539720.0
32.0,228,4,2,11,9,0.0,0.0,0.0,1.0,925680.0
10.0,170,1,1,9,9,1.0,0.0,0.0,0.0,731340.0
21.0,95,2,1,11,5,0.0,0.0,0.0,1.0,434435.0
18.0,270,1,2,11,1,0.0,1.0,0.0,0.0,873990.0
12.0,192,3,2,11,7,0.0,1.0,0.0,0.0,754176.0
27.0,257,3,1,4,2,0.0,0.0,0.0,1.0,1138227.0
25.0,148,4,1,10,3,0.0,0.0,0.0,1.0,610500.0
27.0,215,1,1,11,5,1.0,0.0,0.0,0.0,966436.0
8.0,258,3,2,11,2,0.0,1.0,0.0,0.0,961566.0
20.0,82,1,1,10,3,0.0,0.0,0.0,1.0,356208.0
10.0,66,2,1,10,4,1.0,0.0,0.0,0.0,325908.0
